Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,47.6,-45.4,0.0,bottom
C2,10u,C_0603_1608Metric,47.1,-44.1,0.0,bottom
C3,1u,C_0603_1608Metric,50.4,-42.5,180.0,bottom
C4,1u,C_0603_1608Metric,50.4,-44.1,180.0,bottom
C5,1u,C_0603_1608Metric,60.0,-44.5,90.0,bottom
C6,100n,C_0402_1005Metric,61.7,-45.4,180.0,bottom
C7,1u,C_0603_1608Metric,62.3,-44.1,180.0,bottom
C8,4u7,C_0603_1608Metric,40.95,-37.4,90.0,bottom
C9,22p,C_0402_1005Metric,47.65,-39.1,180.0,bottom
C10,4u7,C_0603_1608Metric,47.45,-37.8,180.0,bottom
C11,1u,C_0402_1005Metric,51.5,-33.9,180.0,bottom
C12,1u,C_0402_1005Metric,53.900001,-36.7,90.0,bottom
D1,1N4148,D_SOD-323,53.8,-45.0,0.0,bottom
D2,1N4148,D_SOD-323,53.8,-43.0,180.0,bottom
D3,1N5819WS,D_SOD-323,47.3,-34.799999,0.0,bottom
J1,OLED_Breakout,OLED_1.5_SSD1351_128x128,55.0,-40.0,0.0,top
J2,SSD1351,HRS_FH34SRJ-30S-0.5SH(50),55.0,-49.6,180.0,bottom
J3,VIK Module,vik-module-connector-horizontal,68.5,-39.5,270.0,bottom
L1,10u,L_Sunlord_SWPA3012S,43.8,-34.1,0.0,bottom
R1,51,R_0402_1005Metric,50.4,-45.4,0.0,bottom
R2,560k,R_0603_1608Metric,58.2,-44.5,90.0,bottom
R4,1M,R_0402_1005Metric,47.65,-40.1,180.0,bottom
R5,100k,R_0402_1005Metric,44.3,-40.1,0.0,bottom
U1,TPS61040DBV,SOT-23-5,43.8,-37.699999,270.0,bottom
U2,XC6206P332MR,SOT-23,51.4,-36.2,180.0,bottom
